,digital_score,Name,ws_ranks
124,0.013677015751966698,Regeneron Pharmaceuticals,0.6348
125,0.007918272277454404,FirstEnergy,0.577
126,0.09933832493533706,Analog Devices,0.6631
127,0.02447465976667725,Ryder System,0.7682
128,0.09429942439513882,Mohawk Industries,0.6492
129,0.03793572263834973,Expedia Group,0.767
130,0.0863811521176844,United Rentals,0.7685
131,0.0,Apollo Global Management,0.7265
132,0.019219806346184778,Hess,0.7096
133,0.0002296298960461777,Fidelity National Financial,0.4829
134,0.10725659721279146,Conagra Brands,0.8523
135,0.013964952925692312,Raymond James Financial,0.5772
136,0.016556387489222845,Seaboard,0.4936
137,0.03959136138727202,S&P Global,0.7552
138,0.00012381298470201432,EMCOR Group,0.4648
139,0.02807387443824743,TravelCenters of America,0.5853
140,0.009645895319808091,Eastman Chemical,0.7706
141,0.007918272277454404,Graybar Electric,0.1
142,6.680142430434261,Hershey,0.7706
143,0.0,Intercontinental Exchange,0.7354
144,0.04081509437560588,Yum China Holdings,0.4829
145,0.0006305824104590962,EnLink Midstream,0.6244
146,0.0,Newell Brands,0.7358
147,0.0,Olin,0.4972
148,0.017996073357850917,CommScope Holding,0.5776
149,0.003095324617550358,KLA,0.5971
150,0.06334617821963523,Motorola Solutions,0.5782
151,0.0,Coterra Energy,0.5698
152,0.41031047255900094,Avery Dennison,0.5841
153,0.006838507875983349,GXO Logistics,0.5905
154,0.1432487439284933,Polaris,0.5772
155,0.006982476462846156,Commercial Metals,0.5778
156,0.009357958146082477,Autoliv,0.7811
157,0.0,Constellation Brands,0.7918
158,1.2957172817652662,Hilton Worldwide Holdings,0.4829
159,0.0,Masco,0.7077
160,0.06766523582551945,M&T Bank,0.6888
161,0.01511670162059477,LPL Financial Holdings,0.6384
162,1.1517486949024587,Campbell Soup,0.814
163,0.004175089019021413,Arthur J. Gallagher,0.7997
164,0.7198429343140367,ODP,0.4829
165,0.01079764401471055,Brighthouse Financial,0.7769
166,0.001079764401471055,Beacon Roofing Supply,0.7895
167,0.005398822007355275,Boise Cascade,0.7124
168,0.00431905760588422,Westinghouse Air Brake Technologies,0.8036
169,0.020875445095107067,ON Semiconductor,0.6302
170,0.010077801080396515,Oshkosh,0.4778
171,0.05038900540198257,Franklin Resources,0.744
172,0.2577037704844251,Taylor Morrison Home,0.7364
173,1.1517486949024587e-05,A-Mark Precious Metals,0.4829
174,0.00863811521176844,J.M. Smucker,0.5421
175,0.0,NGL Energy Partners,0.4829
177,0.012237329883338624,PPL,0.7621
178,2.1883225203146717,Bed Bath & Beyond,0.7373
179,0.02591434563530532,Cintas,0.6399
180,0.014396858686280734,Science Applications International,0.5895
